City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bardai,11.65,7.2333,24.45,26,40,3.48,NG,1699234416
84,quatre cocos,-20.2078,57.7625,23.06,80,44,5.38,MU,1699234416
85,yellowknife,62.456,-114.3525,-6.44,97,75,7.72,CA,1699234054
86,puerto leguizamo,-0.1934,-74.7819,22.63,99,100,1.03,CO,1699234416
87,invercargill,-46.4,168.35,14.45,61,12,2.68,NZ,1699234045
88,vorkuta,67.5,64.0,-10.7,94,100,3.12,RU,1699234417
89,grand falls-windsor,48.9332,-55.6649,4.17,91,100,3.13,CA,1699234369
90,untsukul',42.7115,46.7866,12.82,49,19,2.15,RU,1699234417
91,whitehorse,60.7161,-135.0538,-1.57,81,75,6.17,CA,1699234053
92,mahdia,35.5047,11.0622,21.97,75,7,6.36,TN,1699234418
93,egilsstadir,65.2653,-14.3948,1.95,93,100,10.29,IS,1699234418
94,ocean city,39.2776,-74.5746,13.14,76,21,1.34,US,1699234146
95,afaahiti,-17.75,-149.2833,25.93,82,50,4.79,PF,1699234339
96,queenstown,-31.8976,26.8753,14.35,86,3,0.76,ZA,1699234419
97,tual,-5.6667,132.75,27.51,79,79,5.67,ID,1699234419
98,colonia,50.9333,6.95,11.18,76,75,4.12,DE,1699234233
99,antonio enes,-16.2325,39.9086,23.2,80,9,1.32,MZ,1699234419
100,beloyarskiy,63.7119,66.6722,-5.56,96,100,1.79,RU,1699234420
101,pisco,-13.7,-76.2167,19.03,82,0,6.17,PE,1699234356
102,santa cruz,-17.8,-63.1667,26.7,61,20,2.57,BO,1699234420
103,lompoc,34.6391,-120.4579,17.23,89,75,2.68,US,1699234420
104,choyr,46.3611,108.3611,-14.31,88,34,3.73,MN,1699234421
105,sur,22.5667,59.5289,25.24,69,0,4.84,OM,1699234421
106,san julian,21.0167,-102.1667,15.04,22,95,2.21,MX,1699234421
107,kayakent,42.3874,47.903,14.1,70,72,1.25,RU,1699234422
108,puerto deseado,-47.7503,-65.8938,13.02,39,0,6.25,AR,1699234422
109,axim,4.8699,-2.2405,25.68,90,29,2.03,GH,1699234422
110,tazacorte,28.629,-17.9293,21.19,87,100,6.17,ES,1699234337
111,hudiksvall,61.729,17.1036,4.7,98,100,1.12,SE,1699234422
112,kodiak,57.79,-152.4072,-1.27,55,0,8.75,US,1699234409
113,enewetak,11.3474,162.3373,28.39,72,100,9.78,MH,1699234423
114,kairouan,35.6781,10.0963,20.01,64,20,1.54,TN,1699234423
115,tekeli,44.83,78.8239,4.85,31,31,2.55,KZ,1699234382
116,puerto ayora,-0.7393,-90.3518,25.31,88,66,2.68,EC,1699234040
117,vasylivka,47.4369,35.2742,14.56,79,100,7.87,UA,1699234424
118,gurupi,-11.7292,-49.0686,24.74,83,100,0.8,BR,1699234424
119,kuloy,61.0305,42.4925,6.16,94,100,2.77,RU,1699234424
120,chonchi,-42.6128,-73.8092,10.62,100,100,0.71,CL,1699234326
121,hasaki,35.7333,140.8333,24.22,68,5,8.05,JP,1699234425
122,carqueiranne,43.0953,6.073,13.61,73,0,1.03,FR,1699234425
123,albany,42.6001,-73.9662,6.87,60,64,3.01,US,1699233861
124,illizi,26.4833,8.4667,24.66,13,0,3.21,DZ,1699234425
125,susuman,62.7833,148.1667,-19.56,95,85,0.85,RU,1699234325
126,alice springs,-23.7,133.8833,31.75,9,0,6.69,AU,1699234426
127,tsiombe,-25.3,45.4833,21.59,83,100,4.24,MG,1699234152
128,daru,-9.0763,143.2092,27.0,81,43,5.85,PG,1699234137
129,ruteng,-8.6136,120.4721,26.58,43,12,0.59,ID,1699234426
130,bredasdorp,-34.5322,20.0403,14.19,93,100,0.71,ZA,1699234427
131,qaqortoq,60.7167,-46.0333,-1.34,95,100,3.95,GL,1699234067
132,arraial do cabo,-22.9661,-42.0278,21.37,65,1,7.77,BR,1699234427
133,antofagasta,-23.65,-70.4,16.6,80,58,2.18,CL,1699234427
134,medicine hat,50.0501,-110.6683,9.24,70,75,2.06,CA,1699234428
135,kavaratti,10.5669,72.642,27.38,77,100,4.4,IN,1699234428
136,berezovo,63.9381,65.0419,-3.95,97,100,2.67,RU,1699234380
137,vuktyl,63.8567,57.3094,0.06,87,100,6.71,RU,1699234269
138,hawaiian paradise park,19.5933,-154.9731,23.82,87,100,4.63,US,1699234033
139,utrik,11.2278,169.8474,28.12,78,95,8.97,MH,1699234429
140,robertsport,6.7533,-11.3686,25.89,85,11,0.36,LR,1699234429
141,guatrache,-37.6678,-63.5302,20.33,49,57,6.31,AR,1699234429
142,kushiro,42.975,144.3747,8.53,100,75,2.57,JP,1699234429
143,remire-montjoly,4.9167,-52.2667,27.02,89,20,1.54,GF,1699234430
144,igarka,67.4667,86.5833,-14.16,96,100,2.24,RU,1699234349
145,zaozersk,69.4005,32.4476,0.25,98,100,4.7,RU,1699234430
146,walcourt,50.2539,4.4352,9.28,94,75,8.23,BE,1699234430
147,kavieng,-2.5744,150.7967,28.59,74,100,2.09,PG,1699234221
148,island harbour,50.724,-1.2758,11.07,87,57,2.24,GB,1699234431
149,baruun-urt,46.6806,113.2792,-14.65,74,12,1.06,MN,1699234323
150,itoman,26.1247,127.6694,28.43,75,75,2.57,JP,1699234431
